filename,loops,nested loops,conditionals,switch statements,recursion,exception-based control flow,arrays,collections,maps,recursive data structures,integers,floats,boolean,enumerations,strings,inheritance,interfaces,anonymous classes,abstract classes,polymorphism,generics,raw types,object casting,primitive casting,instance methods,static methods,threads,synchronization,interleavings,lambdas,Network and File I/O,GUI,RE Pattern Syntax,streams,reflection,Math
.\argv-mhe\AidGroup_false\Main.java,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
.\argv-mhe\AidGroup_true\Main.java,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
.\argv-mhe\ClientCompositeImport_exceptionless\Main.java,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\ClientCompositeImport_exceptionprone\Main.java,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\Context_exceptionless\Main.java,YES,NO,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\Context_exceptionprone\Main.java,YES,NO,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
.\argv-mhe\CrossWindowBlurListeners_false\Main.java,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO
.\argv-mhe\CrossWindowBlurListeners_true\Main.java,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO
.\argv-mhe\CustomPrinterIconCache_exceptionless\Main.java,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
.\argv-mhe\CustomPrinterIconCache_exceptionprone\Main.java,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
